FEATURE ANALYSIS
=====================================================================================================================================================================================================================================================
Section 1 = Individual (duplicated)   |   Section 2 = Accumulated w/ descendants (duplicated)   ||   Section 3 = Deduplicated (each physical source line counted once)
=====================================================================================================================================================================================================================================================

                                                             --- Individual (dup) ---                  |                --- Accumulated (dup) ---                ||       -- Dedup Individual --         |       -- Dedup Accumulated --      
Feature                                           LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang  |     LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang ||     LOC    LLOC    LOC%   LLOC%  |     LOC    LLOC    LOC%   LLOC%
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---Authorization_Context                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---User_Authorization                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Permissions                                      0       0    0.00    0.00       0       0     0.00  |     367     334    0.35    0.45      24      24     1.71 ||       0       0    0.00    0.00  |     367     334    0.35    0.45
----Permission_Create                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Permission_Check                              367     334    0.35    0.45      24      24     1.71  |     367     334    0.35    0.45      24      24     1.71 ||     367     334    0.35    0.45  |     367     334    0.35    0.45
----Lease                                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---ACL                                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Access_Control_Policy                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Check                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Header                            74      66    0.07    0.09       3       3     1.04  |      74      66    0.07    0.09       3       3     1.04 ||      74      66    0.07    0.09  |      74      66    0.07    0.09
----Allow_HTTP_Methods                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authorization_Type                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Basic_Authorization                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Bearer_Authorization                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Response_Code                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Service                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Admin_Access                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---DoAsUser                                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----ProxyUser                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---ProxyServer                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Proxy_Credentials                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Exception                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Access_Control_Exception                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Status_Code                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Decision                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Access_Quota_Limitation                          0       0    0.00    0.00       0       0     0.00  |      45      32    0.04    0.04       2       2     1.07 ||       0       0    0.00    0.00  |      45      32    0.04    0.04
----Throttling_Filter                              45      32    0.04    0.04       2       2     1.07  |      45      32    0.04    0.04       2       2     1.07 ||      45      32    0.04    0.04  |      45      32    0.04    0.04
---CrossOriginFilter                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Attribute_based_Access_Control                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
